address,airdrop_dog,addr_type,funded_txo_count,receive_count
bc1p8tujurf85a4czxjc3wmuts9t6tgdvknwqq20rnc9fugwklkmp9rsgls57x,1779612.0,p2tr,8,2
bc1p8zr4nze375gz95vu2mlcfjkdyvym56tz2xquucyl8f5lhyl2gzlsfuuluy,1779612.0,p2tr,9,2
bc1p92ql8ld3423tvd4y05u5rtxlrnaqmycjaa8txmfjwn9k8zlzq39sdq22r3,1779612.0,p2tr,64,2
bc1p94sruz5a5dnaq0hntnnqn8pdm6tgama372pysgqdflddwvarmfsqt025aa,1779612.0,p2tr,10,2
bc1p9jgfsukd7rjmly5vhnz8t2t6lr0xmvp9zhhzjntvnrrrvvztjhpscjx0ar,1779612.0,p2tr,8,2
bc1p9rj28kjm59hx0hwfxshqd2lg2vq7nq6k45rlqwry7ssm6lf92easlksx42,1779612.0,p2tr,11,2
bc1p9u8r837szd0rzk9utv9gmxmnn0s238z3wmsu0nvtl0za2tqatgeq3ls45f,1779612.0,p2tr,22,2
bc1pa559anpgjd09tqyyrjsxhk5f9hk6490pzefssth7xme48q7lcnuqsnmudy,1779612.0,p2tr,7,2
bc1pa6605ftpc8rdr76kh3yjprkgzn9jqu6pmjq9cfjllz78eyl2mtascpvzwl,1779612.0,p2tr,7,2
bc1pa74ctd9c3xxknsa6pdkh2595uh3066773ulv82uqeg6e0l8flyds6h8vx3,1779612.0,p2tr,12,2
bc1pa9s3vns4ak8sz0wtkq48zwff24drtm9xree3w2z3gd8eegacfvnq3a03jv,1779612.0,p2tr,28,2
bc1paa7xvwctvegecpmzy5gt2f4taxnpfmyjurxjh5tlp5qpzgnm62wsmu9vc6,1779612.0,p2tr,9,2
bc1paf69cev0dvxpyamuseya32rscrg5nux3sf0zjqmhcxaq4vv698gs67y09u,1779612.0,p2tr,8,2
bc1pahevfpt4ezk03dum2xydu7jgl5dkrkek9lfh9p04r392lsx9g4xs8u4hcj,1779612.0,p2tr,8,2
bc1pals7pn0h39d032qcl2m9j4exr42qp0s93c6m2htm08rcdk0m2fnsvaxnru,1779612.0,p2tr,7,2
bc1paqxt2a9gvjema9wyyls33p9tyauztgpgcskpgavvwd5302s7tpasmxjwkp,1779612.0,p2tr,34,2
bc1pav4n6vjt37m2p5ezcyx3m4d8m9ft5cyjvg7xulhf7rar7ardkrgq0nvyu4,1779612.0,p2tr,9,2
bc1pazsr9kqwdy9ftqxtdcmfszsyaeu6ngn8jqdecy6m7zrvs2nj24kqaujk6k,1779612.0,p2tr,25,2
bc1pc0ud7h7y8jpjnh27qsym38fvgdh5gp6yw99mnqykvn4wld489ars5gjwyx,1779612.0,p2tr,8,2
bc1pc3a8uhrhjj0vk0x4eq2pvhueu026jsstfm0j2t33rmxhg2p4dyrqlphyna,1779612.0,p2tr,11,2
bc1pcg86zj8hxat0yfp9ymurukmaw5k2x88sfmzc7uua0lkj5j63sejspsdn3z,1779612.0,p2tr,13,2
bc1pcjssj0nanycvdf4zxaztqh8ztz3kg56h5fcalxu7auwcp7dsjj5qm5czaa,1779612.0,p2tr,18,2
bc1pcv8ndt92dgv0mfxq7l8hzrvcjjvcke7jy4gmtw72lvy6e2lhv9hqp3vxvt,1779612.0,p2tr,10,2
