address,airdrop_amount_dog,first_receive_block,first_receive_time,receive_count
bc1pxsex3lk8em4nsn5q4hm2g8jjrnjjzpfjp6gh7cfcjnpqrq6dye3s7vzjys,5338836.0,840654,2024-04-24T12:27:21Z,6
bc1pymh0ku7q25g7qfcqy8rjfc6s6pwxl4anyle3znj9tz6geddqw80sruezp0,5338836.0,840654,2024-04-24T12:27:21Z,6
bc1q002w9vnz5pkp892pt9msjfqvf2u0qwf84fgg2l,5338836.0,840654,2024-04-24T12:27:21Z,6
bc1qzee553lxp6wy5ll37tdqc9f2wfgds23fpukzst,5338836.0,840654,2024-04-24T12:27:21Z,6
3MpWG6G6HPJtbh7vRi9YvEQerBVbshwgY1,5338836.0,840654,2024-04-24T12:27:21Z,6
bc1pl2yshv2cdlem8z2pqt30levjqwtct5fsdwxnmm7lvcdcvwgvhy4qq2qxsa,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1pssg6dxhn0qtza7gwxrks4qz0z6kp87lq94fsdthtgpdmg8ttrvkqmv0scf,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1psuz470tgny7e5afnhk6gl0meg63q0detd7429ajpywn2wtuvatsscj603g,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1ptt28c5wmvfx85utdm6xf7p5ejhuv9cgwxu472290ue4hy8r3f2dqe8ksvd,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1pu5sm66j57jvfznds0nf8ssugsxpke7z24d4m6s80cudextuym2ksd4z5ap,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1pup043veqk3fs0r39xhh0q2dg2qqsl00cam5mysa6av0vvcegdpzssn0x5z,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1pvcfyhghqz8d6u8kk6xcz3f4u8qwvpasy2jnrxy26s4vk37w689rs5sttav,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1pvj0ppxhkfnsvhsctx3p9y8d3m9d7ankz7umrlkqke70mlklmh9vqepl3h6,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1pwdtqfqn3jf62yy6fm5aj8q4phsdsvrqdk6cz064us9sjk38wyvhs72j4hc,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1pwlxlwq4vqs2gp2vm06y5e4dlwpv9clq5duj40fsh8zmkveey4dvqgtd3nx,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1pwv8yav27s9rmp0vsqhnxy59l4k8u7xk32hys2s56w799smzr9kusmjc9ha,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1pwxf5wzvxwjx5kc4f7yu25uy4hh4q2wvd40gxp9gmcup6mw7ek86swn3rvu,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1q5hnm3tcdp7rlsmgs828mfp8pxzlrvvajn02fk6,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1q6qkxyekfsaa0avywxxh5we8u7pdcu2hatd822g,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1qcadad2memf4qarjyxlp5wecce9nra70kggu64h,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1qquxlcakh24s4w0y22da4xsu4l7zc6etxqpp9sv,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1p22zcxgl5ycrft7vv0glvqakealxzr7ptp57ml7kzryg456detwcqpmvn0m,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1p3fyjqa2m3rfaey3nennprylnam3mpe43xv6my2m0n4dftr3927dqh3sy83,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1p4qcvy63ejtlq949s7ajwhs2ky2ym9snjsfzcfq4h8d4vmjs7jknqmc258z,4449030.0,840654,2024-04-24T12:27:21Z,5
bc1p59exh9fky4l88437vv2sx3ql4dvw393ys9djyt3njl99f24n7kaqfq9k9w,4449030.0,840654,2024-04-24T12:27:21Z,5
