rank,address,total_dog,lth_dog,sth_dog,lth_pct,sth_pct,utxo_count,lth_utxos,sth_utxos,weighted_avg_age_days,oldest_age_days,newest_age_days
62454,bc1pdk50c6rwl69ta3vdajzgrswwpuaamsen9wt0zsfxr6vma5p7206s5cgp8u,2983.26166,2983.26166,0.0,100.0,0.0,1,1,0,503.48,503.48,503.48
62455,bc1pswan0lxr8fnu5y0z6lu2kedttk9y9nqr2nv32aqmynf02n23ucwsqq46ze,2981.5981,2981.5981,0.0,100.0,0.0,1,1,0,618.51,618.51,618.51
62456,bc1qn7juryqfdf9av7r9g7hcfw9pxyg8qqehsk4akk,2977.71576,2977.71576,0.0,100.0,0.0,1,1,0,503.43,503.43,503.43
62457,bc1p4mev8a54t44u4692pmdcmnyqmqmpu3kmmrs6duv8s70n6p2kuulsmew8uc,2975.21206,2975.21206,0.0,100.0,0.0,1,1,0,415.91,415.91,415.91
62458,bc1ph9psrstq8cn8j2d4ta6yuc7qpte4jh059wfn4sqcs3uf80knr6eqcw4h3s,2975.0,2975.0,0.0,100.0,0.0,1,1,0,188.94,188.94,188.94
62459,35RDXnuJvA7QDvLfk8DXs6uuaPdZ2V5A38,2974.9,2974.9,0.0,100.0,0.0,10,10,0,634.04,634.04,634.04
62460,bc1pw05x96mr6jj8pu4shy47j7eh947kf9mjsufaglz79pxpy7cqex7selfceu,2974.9,2974.9,0.0,100.0,0.0,1,1,0,634.1,634.1,634.1
62461,bc1p8s4wukvyv087jmwvyycuw7lu3jwa664r4l8e2cvxpnav24ek870qy9tquv,2971.70078,2971.70078,0.0,100.0,0.0,1,1,0,617.19,617.19,617.19
62462,bc1phdqg0xwqujc57hl32g0ct5a0jk7fdwhph9q0nnrnu3dvav4p0vlq0tup7e,2970.0,2970.0,0.0,100.0,0.0,1,1,0,722.9,722.9,722.9
62463,bc1phwwmnphvv8ypscjr2kywfv2kzsk7plt4z0lkxqym6xeguzjd6etstznnx3,2968.73864,2968.73864,0.0,100.0,0.0,1,1,0,376.84,376.84,376.84
