lapide,address,dog,utxo_count,posicao_residencial,airdrop,assinou,direito,x_m,z_m
L14959,bc1pycu9czj7ncqkvs0y3ks67pd84dejg0vpddp9klm9etcerej3df4sshkvf0,0.17761,1,81960,0,0,licença paga + mint do deed = lote no anel de expansão,-6643.21,-2187.69
L14960,bc1pp4japmza96xdltp99llxu0qn3c97nwudt4dqxya7jlptan9w8sfsxu2x75,0.17738,1,81896,0,0,licença paga + mint do deed = lote no anel de expansão,-6642.75,-2189.11
L14961,bc1pt6hz7ny2mnye47999p256hcla2kj4h96lm59cygavl3ssgmjps9q99tzcc,0.17709,1,81993,0,0,licença paga + mint do deed = lote no anel de expansão,-6642.28,-2190.54
L14962,bc1p3zejyyhespg383r52zj08qm8yu3xk0l3z5lz5ky4j9dlevmzt8ys996602,0.17677,1,81961,1,1,licença paga + mint do deed = lote no anel de expansão,-6641.82,-2191.97
L14963,bc1pt4wp2c9dpzfg35jtu9zfpa2j3z7cmzz0vth8un85mvk6phhwrazqkfpzdw,0.17532,1,81837,0,1,licença paga + mint do deed = lote no anel de expansão,-6641.36,-2193.39
L14964,bc1qwzwu4p47p8wkk5l73q0l40ks7jcxu5aujf9dkk,0.175,2,81909,0,0,licença paga + mint do deed = lote no anel de expansão,-6640.89,-2194.82
L14965,bc1q7jjm2szzh809lm9stc25y574hcd5xpfhnlqc50,0.17393,1,85720,1,3,licença paga + mint do deed = lote no anel de expansão,-6640.43,-2196.25
L14966,bc1pv8stq3kjg38j6px94j9yrf9fdev30kfgclcydzfehrw5ajhn9weq2fz6na,0.1724,1,82005,0,0,licença paga + mint do deed = lote no anel de expansão,-6639.96,-2197.67
L14967,bc1pvhd44pnv3mtd3cmh4lnn3j2gnzz8g9pn2mn0d97q29frezfh6rxsxj07tp,0.17178,1,81901,1,1,licença paga + mint do deed = lote no anel de expansão,-6639.5,-2199.1
L14968,bc1pdmd276efe35sx77290ykx8hnaa9503szwvw75t6xy7j7ldmjm6ps322j7t,0.17023,1,81979,0,1,licença paga + mint do deed = lote no anel de expansão,-6639.04,-2200.53
